word,topic
adorable,positive
angry,negative
annoyed,negative
attractive,positive
awful,negative
bad,negative
beautiful,positive
big,neutral
black,neutral
blue,neutral
bored,neutral
brave,positive
bright,positive
calm,positive
clean,positive
clever,positive
clumsy,negative
colorful,positive
crazy,negative
creepy,negative
dark,negative
disgusted,negative
dizzy,negative
easy,positive
elegant,positive
evil,negative
expensive,negative
famous,positive
fancy,positive
fine,positive
funny,positive
gorgeous,positive
grumpy,negative
healthy,positive
helpful,positive
horrible,negative
hungry,negative
innocent,positive
itchy,negative
lazy,negative
light,positive
long,neutral
muddy,negative
nasty,negative
naughty,negative
nice,positive
plain,neutral
poor,negative
scary,negative
shy,neutral
silly,negative
stupid,negative
tasty,positive
tough,neutral
